ingredient_name,safety_status,reason_for_unsafety,source
wheat flour,safe,Common cereal ingredient,https://www.fda.gov/food/food-ingredients-packaging/food-ingredient-status-list
palm oil,unsafe,High saturated fat linked to heart disease,https://www.who.int/news-room/fact-sheets/detail/healthy-diet
salt,caution,High sodium intake increases blood pressure,https://www.who.int/news-room/fact-sheets/detail/salt-reduction
wheat gluten,safe,"Common protein derived from wheat, safe for most",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3854496/
calcium carbonate,safe,Used as a calcium supplement and acidity regulator,https://www.fda.gov/food/food-additives-petitions/food-additive-status-list
potassium chloride,safe,"Used as a salt substitute, generally safe",https://www.ncbi.nlm.nih.gov/books/NBK547859/
sodium phosphate,caution,High intake can affect kidney function,https://www.ncbi.nlm.nih.gov/books/NBK546606/
potassium carbonate,safe,Generally recognized as safe acidity regulator,https://www.fda.gov/food/food-additives-petitions/food-additive-status-list
sodium carbonate,safe,Common food additive and acidity regulator,https://www.fda.gov/food/food-additives-petitions/food-additive-status-list
guar gum,safe,Used as a thickener and stabilizer,https://www.fda.gov/food/food-additives-packaging/food-additive-status-list
hydrolyzed peanut protein,unsafe,Peanut allergen; may cause severe reactions,https://www.foodallergy.org/living-food-allergies/food-allergy-ingredients/peanut
peanut protein,unsafe,Peanut allergen; may cause severe reactions,https://www.foodallergy.org/living-food-allergies/food-allergy-ingredients/peanut
sugar,caution,Excessive intake linked to obesity and diabetes,https://www.who.int/publications/i/item/9789241549028
spices,safe,Generally safe in food amounts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4466765/
onion powder,safe,"Widely used seasoning, safe for general consumption",https://www.ncbi.nlm.nih.gov/books/NBK92767/
corn starch,safe,"Common thickener, generally safe",https://www.fda.gov/food/food-additives-petitions/food-additive-status-list
red chili powder,safe,"Common spice, safe in moderate amounts",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4466765/
garlic powder,safe,"Common spice, safe for general consumption",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4103721/
citric acid,safe,Widely used preservative,https://www.fda.gov/food/food-additives-packaging/food-additive-status-list
colour,caution,Depends on type; some artificial colors linked to health concerns,https://www.fda.gov/food/food-additives-petitions/color-additives
disodium guanylate,safe,Flavor enhancer; safe in normal food amounts,https://www.fda.gov/food/food-additives-petitions/food-additive-status-list
disodium inosinate,safe,Flavor enhancer; generally recognized as safe,https://www.fda.gov/food/food-additives-petitions/food-additive-status-list
sodium bicarbonate,safe,Common leavening agent and acidity regulator,https://www.fda.gov/food/food-additives-petitions/food-additive-status-list
refined wheat flour (maida),safe,Refined wheat flour; common in baking,https://www.fda.gov/food/food-ingredients-packaging/food-ingredient-status-list
refined palm oil,unsafe,High in saturated fats; may affect heart health,https://www.who.int/news-room/fact-sheets/detail/healthy-diet
